activation	item	position	word	retrieve_wh	reanalysis	agreeing_actions	matching_fs	fan_size	condition
2.09916066588863	1	1	the	None	no	2	6.5	1440528.92307692	obj_ext
6.05139045588433	1	2	reporter	None	no	3	8.33333333333333	1629456.14404762	obj_ext
10.9359338699241	1	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	1	4	the	None	no	3	10	578399.1	obj_ext
5.96731734625712	1	5	photographer	None	no	3.33333333333333	9.66666666666667	687697.683501684	obj_ext
7.62169025850079	1	6	sent	yes	yes	3.09090909090909	10.5151515151515	1319601.36079545	obj_ext
8.23078826074827	1	7	to	None	no	3	9.33333333333333	1509366.75	obj_ext
7.66432463936428	1	8	the	None	no	3	10	1371337.9	obj_ext
7.59260692028441	1	9	editor	None	yes	2.6	15.4666666666667	1104744.23772176	obj_ext
6.30230539314995	1	10	was	None	no	3	7.66666666666667	1725859.17391304	obj_ext
2.09916066588863	2	1	the	None	no	2	6.5	1440528.92307692	obj_ext
6.06950099350148	2	2	woman	None	no	2.66666666666667	9.88888888888889	1355785.31608993	obj_ext
10.4580085423922	2	3	who	None	yes	2.75	14.75	792105.768504128	obj_ext
7.53049629107731	2	4	the	None	no	3	10	578399.1	obj_ext
6.07661582695728	2	5	man	None	no	2.66666666666667	9.72222222222222	583559.347239065	obj_ext
7.41289010106509	2	6	pushed	yes	no	2.72727272727273	12.2727272727273	1125595.7393247	obj_ext
4.40547623664213	2	7	into	None	no	2	12.5	935739.44	obj_ext
5.76622453619455	2	8	the	None	no	3	8	1642476	obj_ext
4.41544623006508	2	9	table	None	no	2	16.7777777777778	1084333.53079877	obj_ext
3.95795046533728	2	10	left	None	yes	1.33333333333333	23.1666666666667	476381.18566465	obj_ext
2.09916066588863	3	1	the	None	no	2	6.5	1440528.92307692	obj_ext
5.98597782117603	3	2	singer	None	no	3	8.33333333333333	1636418.95357143	obj_ext
10.9359338699241	3	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	3	4	the	None	no	3	10	578399.1	obj_ext
5.24398247629489	3	5	composer	None	no	3	11	626506.278943279	obj_ext
7.60184682495686	3	6	introduced	yes	yes	3.09090909090909	10.4393939393939	1310265.50284091	obj_ext
6.80835771491923	3	7	to	None	no	3	9.33333333333333	1487374.07142857	obj_ext
7.49673443450602	3	8	the	None	no	5	10	2288468.5	obj_ext
7.09080294235026	3	9	musician	None	no	2.875	13.875	1313019.28717532	obj_ext
7.78379827326065	3	10	was	None	no	3	10.6666666666667	1370910.08975694	obj_ext
2.09916066588863	4	1	the	None	no	2	6.5	1440528.92307692	obj_ext
4.85889937736243	4	2	boy	None	no	2.33333333333333	12.6666666666667	1255480.69166667	obj_ext
10.9359338699241	4	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	4	4	the	None	no	3	10	578399.1	obj_ext
5.98069975534079	4	5	girl	None	no	3.33333333333333	9.55555555555556	679627.639342139	obj_ext
7.35172524946558	4	6	pulled	yes	yes	3	11.030303030303	1291734.48700069	obj_ext
3.56801851835778	4	7	into	None	no	2	12	425346.18487395	obj_ext
5.4461372351343	4	8	the	None	no	3	6.66666666666667	655877.4	obj_ext
5.36580430713579	4	9	mud	None	yes	2.33333333333333	14	478176.878095238	obj_ext
6.917026040277	4	10	had	None	no	3	8	630820.5	obj_ext
2.09916066588863	5	1	the	None	no	2	6.5	1440528.92307692	obj_ext
5.98597782117603	5	2	hiker	None	no	3	8.33333333333333	1636418.95357143	obj_ext
10.9359338699241	5	3	who	None	yes	3.5	12.75	1028324.78653846	obj_ext
7.53049629107731	5	4	the	None	no	3	10	578399.1	obj_ext
6.58867147543811	5	5	ranger	None	no	3.66666666666667	8.66666666666667	774427.368686869	obj_ext
6.94501935622851	5	6	took	None	yes	3	8.33333333333333	715543.68	obj_ext
9.83440044311653	5	7	to	yes	no	3	12.3333333333333	1139109.64864865	obj_ext
6.68518748430798	5	8	the	None	no	3	9	1501211.66666667	obj_ext
3.84474793972012	5	9	campsite	None	yes	2	12	1081261.08333333	obj_ext
6.65144426830875	5	10	was	None	no	3	8	1655891.25	obj_ext
2.09916066588863	6	1	the	None	no	2	6.5	1440528.92307692	obj_ext
