position,word,freq,label,function,item,activation
1,the,6961417.875,subj_ext,DT,1,6.461418845027831
2,reporter,1328.625,subj_ext,NN,1,-2.122581712992166
3,who,232455.375,subj_ext,WP,1,3.0607401348152368
4,sent,15429.375,subj_ext,VBD,1,0.34393876183982436
5,the,6961417.875,subj_ext,DT,1,6.461418845027831
6,photographer,1257.75,subj_ext,NN,1,-2.178023570461482
7,to,2880389.25,subj_ext,TO,1,5.578807643890024
8,the,6961417.875,subj_ext,DT,1,6.461418845027831
9,editor,4398.75,subj_ext,NN,1,-0.9162215715133489
10,was,1039471.875,subj_ext,VBD,1,4.559308638799121
11,hoping,3966.75,subj_ext,VBG,1,-1.0201886866422025
12,for,958188.375,subj_ext,IN,1,4.477855445776505
1,the,6961417.875,subj_ext,DT,2,6.461418845027831
2,woman,26114.625,subj_ext,NN,2,0.8715216459916456
3,who,232455.375,subj_ext,WP,2,3.0607401348152368
4,pushed,5689.125,subj_ext,VBD,2,-0.6575808940320204
5,the,6961417.875,subj_ext,DT,2,6.461418845027831
6,man,69860.25,subj_ext,NN,2,1.857289424440111
7,into,183903.75,subj_ext,TO,2,2.8262649157595674
8,the,6961417.875,subj_ext,DT,2,6.461418845027831
9,table,22725.0,subj_ext,NN,2,0.7321784405686353
10,left,52975.125,subj_ext,VBD,2,1.5802057445035624
11,the,6961417.875,subj_ext,DT,2,6.461418845027831
12,room,34785.0,subj_ext,NN,2,1.1588279909198973
1,the,6961417.875,subj_ext,DT,3,6.461418845027831
2,singer,1902.375,subj_ext,NN,3,-1.760188943637791
3,who,232455.375,subj_ext,WP,3,3.0607401348152368
4,introduced,9732.375,subj_ext,VBD,3,-0.11840738075995022
5,the,6961417.875,subj_ext,DT,3,6.461418845027831
6,composer,1072.125,subj_ext,NN,3,-2.33917372456818
7,to,2880389.25,subj_ext,TO,3,5.578807643890024
8,the,6961417.875,subj_ext,DT,3,6.461418845027831
9,musician,700.875,subj_ext,NN,3,-2.770112050412916
10,was,1039471.875,subj_ext,VBD,3,4.559308638799121
11,hoping,3966.75,subj_ext,VBG,3,-1.0201886866422025
12,to,2880389.25,subj_ext,TO,3,5.578807643890024
1,the,6961417.875,subj_ext,DT,4,6.461418845027831
2,boy,14951.25,subj_ext,NN,4,0.3123710386444603
3,who,232455.375,subj_ext,WP,4,3.0607401348152368
4,pulled,7900.875,subj_ext,VBD,4,-0.3277418183222293
5,the,6961417.875,subj_ext,DT,4,6.461418845027831
6,girl,17732.25,subj_ext,NN,4,0.4834508645951434
7,into,183903.75,subj_ext,TO,4,2.8262649157595674
8,the,6961417.875,subj_ext,DT,4,6.461418845027831
9,mud,2161.125,subj_ext,NN,4,-1.6315572188050755
10,had,501070.5,subj_ext,VBD,4,3.829271959244354
11,been,302313.375,subj_ext,VBN,4,3.3236926694507885
12,taunting,146.25,subj_ext,VBG,4,-4.370249105697026
1,the,6961417.875,subj_ext,DT,5,6.461418845027831
2,hiker,25.875,subj_ext,NN,5,-6.20438365680196
3,who,232455.375,subj_ext,WP,5,3.0607401348152368
4,took,44055.0,subj_ext,VBD,5,1.3955168776000015
5,the,6961417.875,subj_ext,DT,5,6.461418845027831
6,ranger,228.375,subj_ext,NN,5,-3.9124451206465296
7,to,2880389.25,subj_ext,TO,5,5.578807643890024
8,the,6961417.875,subj_ext,DT,5,6.461418845027831
9,campsite,130.5,subj_ext,NN,5,-4.488876372586086
10,was,1039471.875,subj_ext,VBD,5,4.559308638799121
11,worried,5168.25,subj_ext,JJ,5,-0.754092944959228
12,about,221755.5,subj_ext,IN,5,3.0135808560041815
1,the,6961417.875,subj_ext,DT,6,6.461418845027831
2,busboy,11.25,subj_ext,NN,6,-7.105216335875734
3,who,232455.375,subj_ext,WP,6,3.0607401348152368
4,brought,22909.5,subj_ext,VBD,6,0.7402730561905189
5,the,6961417.875,subj_ext,DT,6,6.461418845027831
6,waiter,844.875,subj_ext,NN,6,-2.580678698189764
7,to,2880389.25,subj_ext,TO,6,5.578807643890024
8,the,6961417.875,subj_ext,DT,6,6.461418845027831
9,table,22725.0,subj_ext,NN,6,0.7321784405686353
10,did,161357.625,subj_ext,VBD,6,2.6953605900580073
11,n't,374463.0,subj_ext,RB,6,3.5378569313158996
12,think,103336.875,subj_ext,VB,6,2.2492756483097063
1,the,6961417.875,subj_ext,DT,7,6.461418845027831
2,gardener,857.25,subj_ext,NN,7,-2.565573927715187
3,who,232455.375,subj_ext,WP,7,3.0607401348152368
4,recommended,4205.25,subj_ext,VBD,7,-0.9614027039501586
5,the,6961417.875,subj_ext,DT,7,6.461418845027831
6,painter,1386.0,subj_ext,NN,7,-2.0796449484278425
7,to,2880389.25,subj_ext,TO,7,5.578807643890024
8,the,6961417.875,subj_ext,DT,7,6.461418845027831
9,homeowner,11.25,subj_ext,NN,7,-7.105216335875734
10,was,1039471.875,subj_ext,VBD,7,4.559308638799121
11,not,520624.125,subj_ext,RB,7,3.8675734186303243
12,available,30582.0,subj_ext,JJ,7,1.0297928993729613
1,the,6961417.875,subj_ext,DT,8,6.461418845027831
2,businessman,1107.0,subj_ext,NN,8,-2.3067486325418813
3,who,232455.375,subj_ext,WP,8,3.0607401348152368
4,recommended,4205.25,subj_ext,VBD,8,-0.9614027039501586
5,the,6961417.875,subj_ext,DT,8,6.461418845027831
6,banker,679.5,subj_ext,NN,8,-2.8012519377089853
7,to,2880389.25,subj_ext,TO,8,5.578807643890024
8,the,6961417.875,subj_ext,DT,8,6.461418845027831
9,company,45132.75,subj_ext,NN,8,1.419719629857077
10,has,291873.375,subj_ext,VBZ,8,3.288525019308653
11,been,302313.375,subj_ext,VBN,8,3.3236926694507885
12,doing,32370.75,subj_ext,VBG,8,1.0867419346603886
1,the,6961417.875,subj_ext,DT,9,6.461418845027831
2,actor,2293.875,subj_ext,NN,9,-1.5716462476177693
3,who,232455.375,subj_ext,WP,9,3.0607401348152368
4,mentioned,7858.125,subj_ext,VBD,9,-0.3331418155015897
5,the,6961417.875,subj_ext,DT,9,6.461418845027831
6,dancer,672.75,subj_ext,NN,9,-2.811570828282897
7,to,2880389.25,subj_ext,TO,9,5.578807643890024
8,the,6961417.875,subj_ext,DT,9,6.461418845027831
9,director,13692.375,subj_ext,NN,9,0.2241412940298386
10,would,287097.75,subj_ext,MD,9,3.2720158482858137
11,like,173077.875,subj_ext,VB,9,2.7655410923991384
12,rehearsals,411.75,subj_ext,NNS,9,-3.310744216830727
1,the,6961417.875,subj_ext,DT,10,6.461418845027831
2,protester,56.25,subj_ext,NN,10,-5.364360377619945
3,who,232455.375,subj_ext,WP,10,3.0607401348152368
4,shoved,437.625,subj_ext,VBD,10,-3.2485115120145767
5,the,6961417.875,subj_ext,DT,10,6.461418845027831
6,student,8616.375,subj_ext,NN,10,-0.24066834176401825
7,into,183903.75,subj_ext,TO,10,2.8262649157595674
8,the,6961417.875,subj_ext,DT,10,6.461418845027831
9,crowd,4966.875,subj_ext,NN,10,-0.7941047593034964
10,was,1039471.875,subj_ext,VBD,10,4.559308638799121
11,demonstrating,853.875,subj_ext,VBG,10,-2.5699439913390827
12,against,63234.0,subj_ext,IN,10,1.7574953689020838
1,the,6961417.875,subj_ext,DT,11,6.461418845027831
2,intern,32.625,subj_ext,NN,11,-5.948086682650257
3,who,232455.375,subj_ext,WP,11,3.0607401348152368
4,assigned,1374.75,subj_ext,VBD,11,-2.0881533556674636
5,the,6961417.875,subj_ext,DT,11,6.461418845027831
6,assistant,4183.875,subj_ext,NN,11,-0.9666030426465049
7,to,2880389.25,subj_ext,TO,11,5.578807643890024
8,the,6961417.875,subj_ext,DT,11,6.461418845027831
9,project,17116.875,subj_ext,NN,11,0.4480143239896119
10,will,286386.75,subj_ext,MD,11,3.2695345742776034
11,be,747877.5,subj_ext,VB,11,4.229951711019649
12,promoted,1784.25,subj_ext,VBN,11,-1.8248107360486923
1,the,6961417.875,subj_ext,DT,12,6.461418845027831
2,firefighter,27.0,subj_ext,NN,12,-6.139109430302041
3,who,232455.375,subj_ext,WP,12,3.0607401348152368
4,directed,3951.0,subj_ext,VBD,12,-1.0240945531866446
5,the,6961417.875,subj_ext,DT,12,6.461418845027831
6,policewoman,187.875,subj_ext,NN,12,-4.114218933131934
7,to,2880389.25,subj_ext,TO,12,5.578807643890024
8,the,6961417.875,subj_ext,DT,12,6.461418845027831
9,scene,7654.5,subj_ext,NN,12,-0.35952994308655545
10,was,1039471.875,subj_ext,VBD,12,4.559308638799121
11,concerned,18328.5,subj_ext,VBN,12,0.5166064058246188
12,about,221755.5,subj_ext,IN,12,3.0135808560041815
1,the,6961417.875,subj_ext,DT,13,6.461418845027831
2,prisoner,1872.0,subj_ext,NN,13,-1.7763198469530181
3,who,232455.375,subj_ext,WP,13,3.0607401348152368
4,shoved,437.625,subj_ext,VBD,13,-3.2485115120145767
5,the,6961417.875,subj_ext,DT,13,6.461418845027831
6,guard,3438.0,subj_ext,NN,13,-1.1640104874266248
7,into,183903.75,subj_ext,TO,13,2.8262649157595674
8,the,6961417.875,subj_ext,DT,13,6.461418845027831
9,wall,13538.25,subj_ext,NN,13,0.21279025379768846
10,has,291873.375,subj_ext,VBZ,13,3.288525019308653
11,been,302313.375,subj_ext,VBN,13,3.3236926694507885
12,put,67089.375,subj_ext,VBN,13,1.816760802512049
1,the,6961417.875,subj_ext,DT,14,6.461418845027831
2,cheerleader,15.75,subj_ext,NN,14,-6.750442811456028
3,who,232455.375,subj_ext,WP,14,3.0607401348152368
4,took,44055.0,subj_ext,VBD,14,1.3955168776000015
5,the,6961417.875,subj_ext,DT,14,6.461418845027831
6,quarterback,65.25,subj_ext,NN,14,-5.20861088031231
7,to,2880389.25,subj_ext,TO,14,5.578807643890024
8,the,6961417.875,subj_ext,DT,14,6.461418845027831
9,party,45344.25,subj_ext,NN,14,1.4244084577308465
10,has,291873.375,subj_ext,VBZ,14,3.288525019308653
11,been,302313.375,subj_ext,VBN,14,3.3236926694507885
12,dating,1531.125,subj_ext,VBG,14,-1.979152049918296
1,the,6961417.875,subj_ext,DT,15,6.461418845027831
2,customer,5245.875,subj_ext,NN,15,-0.7391693749209691
3,who,232455.375,subj_ext,WP,15,3.0607401348152368
4,pushed,5689.125,subj_ext,VBD,15,-0.6575808940320204
5,the,6961417.875,subj_ext,DT,15,6.461418845027831
6,clerk,2196.0,subj_ext,NN,15,-1.6153939093387255
7,into,183903.75,subj_ext,TO,15,2.8262649157595674
8,the,6961417.875,subj_ext,DT,15,6.461418845027831
9,clothes,8240.625,subj_ext,NN,15,-0.28545033285113264
10,rack,840.375,subj_ext,VBP,15,-2.5857840820617564
11,left,52975.125,subj_ext,VBD,15,1.5802057445035624
12,without,51952.5,subj_ext,IN,15,1.5606783996360583
1,the,6961417.875,subj_ext,DT,16,6.461418845027831
2,plumber,243.0,subj_ext,NN,16,-3.848031652810488
3,who,232455.375,subj_ext,WP,16,3.0607401348152368
4,drove,4172.625,subj_ext,VBD,16,-0.9692807618233625
5,the,6961417.875,subj_ext,DT,16,6.461418845027831
6,carpenter,534.375,subj_ext,NN,16,-3.0450758307775874
7,to,2880389.25,subj_ext,TO,16,5.578807643890024
8,the,6961417.875,subj_ext,DT,16,6.461418845027831
9,worksite,11.25,subj_ext,NN,16,-7.105216335875734
10,used,75341.25,subj_ext,VBN,16,1.9329229320419676
11,to,2880389.25,subj_ext,TO,16,5.578807643890024
12,always,52006.5,subj_ext,RB,16,1.5617189397490685
1,the,6961417.875,obj_ext,DT,1,6.461418845027831
2,reporter,1328.625,obj_ext,NN,1,-2.122581712992166
3,who,232455.375,obj_ext,WP,1,3.0607401348152368
4,the,6961417.875,obj_ext,DT,1,6.461418845027831
5,photographer,1257.75,obj_ext,NN,1,-2.178023570461482
6,sent,15429.375,obj_ext,VBD,1,0.34393876183982436
7,to,2880389.25,obj_ext,TO,1,5.578807643890024
8,the,6961417.875,obj_ext,DT,1,6.461418845027831
9,editor,4398.75,obj_ext,NN,1,-0.9162215715133489
10,was,1039471.875,obj_ext,VBD,1,4.559308638799121
11,hoping,3966.75,obj_ext,VBG,1,-1.0201886866422025
12,for,958188.375,obj_ext,IN,1,4.477855445776505
1,the,6961417.875,obj_ext,DT,2,6.461418845027831
2,woman,26114.625,obj_ext,NN,2,0.8715216459916456
3,who,232455.375,obj_ext,WP,2,3.0607401348152368
4,the,6961417.875,obj_ext,DT,2,6.461418845027831
5,man,69860.25,obj_ext,NN,2,1.857289424440111
6,pushed,5689.125,obj_ext,VBD,2,-0.6575808940320204
