LABEL	FREQ
NOPOS	82589
shift	94084
NO	264341
NP_BAR	29905
reduce_unary	78675
NP	23835
reduce_binary	96750
ADJP_BAR	758
ADJP	689
NP-SBJ_BAR	7278
NP-SBJ	9383
PP-CLR_BAR	1267
PP-CLR	1231
NP-TMP_BAR	299
NP-TMP	368
VP_BAR	20941
VP	14519
S_BAR	16087
S	8782
PP_BAR	5307
PP	5202
NP-PRD_BAR	879
NP-PRD	560
UCP_BAR	77
UCP	27
*	2881
postulate_gap	6591
ADVP-TMP	622
S-CLR_BAR	93
S-CLR	91
RRC_BAR	7
RRC	10
QP_BAR	1605
QP	791
ADVP-TMP_BAR	136
PP-LOC_BAR	1222
PP-LOC	1200
S-TPC_BAR	559
S-TPC	337
YES	11759
0	1099
*t*	1607
SBAR_BAR	2418
SBAR	2405
ADJP-PRD_BAR	471
ADJP-PRD	607
SBAR-TMP_BAR	213
SBAR-TMP	200
WHNP	929
PRT	222
S-NOM_BAR	326
S-NOM	313
PP-LOC-CLR_BAR	57
PP-LOC-CLR	60
PP-TMP_BAR	860
PP-TMP	846
SBAR-ADV_BAR	332
SBAR-ADV	307
PP-DIR_BAR	422
PP-DIR	411
ADVP_BAR	192
ADVP	960
PP-PRD_BAR	105
PP-PRD	90
SINV_BAR	920
SINV	202
ADVP-MNR	247
*ich*	122
*?*	45
NAC-LOC_BAR	94
NAC-LOC	29
NP-LGS_BAR	421
NP-LGS	235
PP-LOC-PRD_BAR	36
PP-LOC-PRD	36
ADVP-MNR_BAR	41
NAC_BAR	23
NAC	20
WHADVP	244
ADVP-LOC	88
NP-ADV_BAR	197
NP-ADV	202
PP-EXT_BAR	16
PP-EXT	16
SBAR-PRP_BAR	138
SBAR-PRP	115
PRN_BAR	654
PRN	299
ADVP-DIR	65
PP-PRP_BAR	131
PP-PRP	84
*u*	744
*rnr*	41
FRAG_BAR	249
FRAG	101
PP-MNR_BAR	151
PP-MNR	144
PP-LOC-PRD-TPC_BAR	1
PP-LOC-PRD-TPC	1
CONJP_BAR	39
CONJP	25
S-ADV_BAR	238
S-ADV	223
SBAR-LOC_BAR	22
SBAR-LOC	22
ADVP-LOC_BAR	17
ADVP-CLR	51
NP-LOC	141
NP-EXT_BAR	111
NP-EXT	132
NP-CLR	27
SBAR-NOM-SBJ_BAR	10
SBAR-NOM-SBJ	10
SBAR-NOM-PRD_BAR	3
SBAR-NOM-PRD	3
ADVP-DIR-CLR	1
ADVP-PRD-LOC_BAR	3
ADVP-PRD-LOC	2
WHPP_BAR	35
WHPP	35
S-PRP_BAR	118
S-PRP	113
NP-LOC_BAR	166
ADVP-LOC-PRD_BAR	2
ADVP-LOC-PRD	8
SBAR-NOM_BAR	58
SBAR-NOM	56
PP-DIR-CLR_BAR	14
PP-DIR-CLR	14
NX	131
NX_BAR	179
WHNP_BAR	62
S-NOM-SBJ_BAR	23
S-NOM-SBJ	23
ADVP-DIR_BAR	23
ADVP-PRD-TPC	3
ADVP-PRD	36
SBAR-PRD_BAR	37
SBAR-PRD	34
ADVP-PRP	12
PP-BNF_BAR	7
PP-BNF	7
ADVP-CLR_BAR	30
SBARQ_BAR	54
SBARQ	26
PP-LOC-TPC_BAR	1
PP-LOC-TPC	1
S-PRP-CLR_BAR	5
S-PRP-CLR	5
UCP-TMP_BAR	4
UCP-TMP	2
S-PRD_BAR	23
S-PRD	23
NP-MNR_BAR	5
NP-MNR	4
*exp*	44
ADJP-TMP_BAR	2
ADJP-TMP	2
SQ_BAR	81
SQ	34
SBARQ-TPC_BAR	3
SBARQ-TPC	2
ADVP-PRD_BAR	20
PP-PRD-LOC_BAR	6
PP-PRD-LOC	5
PP-TPC_BAR	6
PP-TPC	6
PP-PUT_BAR	16
PP-PUT	16
ADVP-LOC-PRD-TPC	2
NX-TTL	10
NP-TTL_BAR	40
NP-TTL	35
NP-TTL-SBJ_BAR	15
NP-TTL-SBJ	15
SBAR-MNR_BAR	6
SBAR-MNR	5
S-CLF_BAR	16
S-CLF	6
S-MNR_BAR	3
S-MNR	3
NX-TTL_BAR	11
NP-TPC_BAR	2
NP-TPC	2
S-SBJ_BAR	6
S-SBJ	3
PP-DTV_BAR	31
PP-DTV	29
INTJ_BAR	13
INTJ	10
NP-HLN_BAR	60
NP-HLN	37
*ppa*	7
PP-LGS_BAR	2
PP-LGS	2
SQ-TPC_BAR	3
SQ-TPC	1
SBARQ-NOM_BAR	9
SBARQ-NOM	3
NP-PRD-TTL_BAR	1
NP-PRD-TTL	1
S-HLN_BAR	25
S-HLN	15
SBAR-CLR_BAR	7
SBAR-CLR	7
X	6
X_BAR	4
LST_BAR	13
LST	15
UCP-PRD_BAR	23
UCP-PRD	6
PP-TTL_BAR	2
PP-TTL	2
NP-TTL-PRD	1
WHADVP_BAR	4
SBAR-SBJ_BAR	4
SBAR-SBJ	3
NAC-TMP_BAR	10
NAC-TMP	2
S-TMP_BAR	3
S-TMP	2
PP-CLR-LOC_BAR	2
PP-CLR-LOC	2
ADVP-DIR-TPC	1
SINV-TPC_BAR	15
SINV-TPC	3
UCP-LOC-CLR_BAR	2
UCP-LOC-CLR	1
PP-TMP-PRD_BAR	3
PP-TMP-PRD	3
SBAR-LOC-PRD_BAR	1
SBAR-LOC-PRD	1
ADVP-LOC-CLR	4
S-TTL_BAR	2
S-TTL	2
ADVP-EXT_BAR	1
ADVP-EXT	2
*not*	1
NP-TMP-CLR_BAR	33
NP-TMP-CLR	25
X-HLN_BAR	2
X-HLN	1
PP-TMP-CLR_BAR	9
PP-TMP-CLR	9
ADJP-TPC_BAR	2
ADJP-TPC	2
ADVP-PUT_BAR	1
ADVP-PUT	1
UCP-MNR_BAR	3
UCP-MNR	1
NP-TMP-HLN_BAR	2
NP-TMP-HLN	1
ADJP-ADV_BAR	3
ADJP-ADV	4
FRAG-ADV_BAR	3
FRAG-ADV	3
NP-VOC	2
FRAG-TTL-SBJ_BAR	2
FRAG-TTL-SBJ	1
PP-LOC-CLR-TPC_BAR	1
PP-LOC-CLR-TPC	1
VP-TPC_BAR	5
VP-TPC	3
ADVP|PRT	1
S-NOM-PRD_BAR	1
S-NOM-PRD	1
UCP-PRP_BAR	4
UCP-PRP	1
ADJP-CLR_BAR	1
ADJP-CLR	2
FRAG-HLN_BAR	5
FRAG-HLN	2
ADVP-TMP-CLR	2
PP-MNR-CLR_BAR	1
PP-MNR-CLR	1
FRAG-TPC_BAR	1
FRAG-TPC	1
ADVP-HLN_BAR	1
ADVP-HLN	1
NP-TMP-TPC_BAR	2
NP-TMP-TPC	1
NP-CLR_BAR	3
ADVP-PRP_BAR	4
S-CLF-TPC_BAR	2
S-CLF-TPC	1
S-PRP-PRD_BAR	1
S-PRP-PRD	1
