position,word,freq,label,function,item,activation
1,the,6961417.875,gram_high,DT,1,6.461418845027831
2,professor,5847.75,gram_high,NN,1,-0.6300017567337541
3,saw,30079.125,gram_high,VBD,1,1.0131758548051946
4,the,6961417.875,gram_high,DT,1,6.461418845027831
5,students,16427.25,gram_high,NNS,1,0.40679311382882744
6,that,1254804.75,gram_high,WDT,1,4.747640315532376
7,walked,10625.625,gram_high,VBD,1,-0.030288941493511076
8,across,28353.375,gram_high,IN,1,0.9539596942519336
9,the,6961417.875,gram_high,DT,1,6.461418845027831
10,quad,113.625,gram_high,NN,1,-4.632843716354775
11,.,24.75,gram_high,.,1,-6.2500316988811715
1,we,403641.0,gram_high,PRP,2,3.6129337402428114
2,celebrated,1942.875,gram_high,VBD,2,-1.7390763927011272
3,with,733556.25,gram_high,IN,2,4.210608759730691
4,the,6961417.875,gram_high,DT,2,6.461418845027831
5,team,21287.25,gram_high,NN,2,0.6666542532390136
6,that,1254804.75,gram_high,WDT,2,4.747640315532376
7,defeated,2001.375,gram_high,VBD,2,-1.7090329181359825
8,our,106881.75,gram_high,PRP$,2,2.2830431664730333
9,rival,2916.0,gram_high,NN,2,-1.3297571313732401
10,.,24.75,gram_high,.,2,-6.2500316988811715
1,we,403641.0,gram_high,PRP,3,3.6129337402428114
2,rented,958.5,gram_high,VBD,3,-2.452695875713039
3,the,6961417.875,gram_high,DT,3,6.461418845027831
4,bowling,914.625,gram_high,NN,3,-2.500194050246814
5,shoes,4115.25,gram_high,NNS,3,-0.9831600637618649
6,that,1254804.75,gram_high,WDT,3,4.747640315532376
7,rubbed,1050.75,gram_high,VBD,3,-2.359843604616671
8,our,106881.75,gram_high,PRP$,3,2.2830431664730333
9,ankles,571.5,gram_high,NNS,3,-2.9769533320381623
10,.,24.75,gram_high,.,3,-6.2500316988811715
1,while,63722.25,gram_high,IN,4,1.765196213256624
2,they,487659.375,gram_high,PRP,4,3.802128335474013
3,were,363186.0,gram_high,VBD,4,3.507260646608495
4,at,537950.25,gram_high,IN,4,3.900327488661853
5,the,6961417.875,gram_high,DT,4,6.461418845027831
6,park,12936.375,gram_high,NN,4,0.16716467509073396
7,",",3.375,gram_high,",",4,-8.553019211179882
8,they,487659.375,gram_high,PRP,4,3.802128335474013
9,saw,30079.125,gram_high,VBD,4,1.0131758548051946
10,the,6961417.875,gram_high,DT,4,6.461418845027831
11,children,52434.0,gram_high,NNS,4,1.56992336908797
12,that,1254804.75,gram_high,WDT,4,4.747640315532376
13,bothered,1769.625,gram_high,VBD,4,-1.833221003518215
14,them,195095.25,gram_high,PRP,4,2.8853912573285805
15,yesterday,21945.375,gram_high,NN,4,0.6971753135412013
16,.,24.75,gram_high,.,4,-6.2500316988811715
1,at,537950.25,gram_high,IN,5,3.900327488661853
2,the,6961417.875,gram_high,DT,5,6.461418845027831
3,supermarket,1200.375,gram_high,NN,5,-2.225055954138468
4,",",3.375,gram_high,",",5,-8.553019211179882
5,we,403641.0,gram_high,PRP,5,3.6129337402428114
6,ran,9834.75,gram_high,VBD,5,-0.10792366873283171
7,into,183903.75,gram_high,IN,5,2.8262649157595674
8,the,6961417.875,gram_high,DT,5,6.461418845027831
9,people,139677.75,gram_high,NNS,5,2.5509386501991385
