WORD	POS	FREQ
pierre	NNP	1
vinken	NNP	2
,	,	4885
61	CD	5
year	NNS	115
years	NNS	115
old	JJ	24
will	MD	280
join	VB	4
the	DT	4753
board	NN	30
as	IN	362
a	DT	1979
nonexecutive	JJ	5
director	NN	32
nov.	NNP	23
29	CD	5
.	.	3828
mr.	NNP	375
be	VBZ	672
is	VBZ	672
chairman	NN	45
of	IN	2325
elsevier	NNP	1
n.v.	NNP	3
dutch	NNP	1
publish	VBG	4
publishing	VBG	4
group	NN	43
rudolph	NNP	3
agnew	NNP	1
55	CD	10
and	CC	1549
former	JJ	19
consolidated	NNP	2
gold	NNP	2
field	NNP	2
fields	NNP	2
plc	NNP	13
be	VBD	564
was	VBD	367
name	VBN	21
named	VBN	21
*-1	-NONE-	1123
this	DT	224
british	JJ	7
industrial	JJ	19
conglomerate	NN	3
form	NN	17
asbestos	NN	11
once	RB	16
use	VBN	27
used	VBN	27
*	-NONE-	965
to	TO	2179
make	VB	64
kent	NNP	8
cigarette	NN	4
filter	NNS	7
filters	NNS	7
have	VBZ	338
has	VBZ	338
cause	VBN	9
caused	VBN	9
high	JJ	27
percentage	NN	11
cancer	NN	7
death	NNS	6
deaths	NNS	6
among	IN	44
worker	NNS	22
workers	NNS	22
expose	VBN	2
exposed	VBN	2
it	PRP	577
more	RBR	88
than	IN	181
30	CD	47
ago	IN	22
researcher	NNS	14
researchers	NNS	14
report	VBD	25
reported	VBD	25
0	-NONE-	1099
*t*-1	-NONE-	806
fiber	NN	1
crocidolite	NN	5
unusually	RB	2
resilient	JJ	1
once	IN	2
enter	VBZ	4
enters	VBZ	4
lung	NNS	1
lungs	NNS	1
with	IN	398
even	RB	72
brief	JJ	4
exposure	NNS	3
exposures	NNS	3
cause	VBG	5
causing	VBG	5
symptom	NNS	1
symptoms	NNS	1
that	WDT	217
show	VBP	4
up	RP	77
decade	NNS	3
decades	NNS	3
late	JJ	27
later	JJ	12
say	VBD	614
said	VBD	614
*t*-2	-NONE-	345
lorillard	NNP	4
inc.	NNP	97
unit	NN	36
new	JJ	168
york-based	JJ	4
loews	NNP	1
corp.	NNP	117
make	VBZ	11
makes	VBZ	11
cigarette	NNS	6
cigarettes	NNS	6
stop	VBD	4
stopped	VBD	4
use	VBG	16
using	VBG	16
in	IN	1749
its	PRP$	343
micronite	NN	1
1956	CD	2
although	IN	27
preliminary	JJ	6
finding	NNS	8
findings	NNS	8
were	VBD	197
report	VBN	12
reported	VBN	12
*-2	-NONE-	372
year	NN	214
late	JJS	22
latest	JJS	22
result	NNS	22
results	NNS	22
appear	VBP	3
today	NN	28
translated_aposs	POS	761
new	NNP	160
england	NNP	23
journal	NNP	10
medicine	NNP	6
forum	NN	2
likely	JJ	20
bring	VB	9
attention	NN	8
problem	NN	30
spokewoman	NN	1
``	``	702
an	DT	335
story	NN	6
we	PRP	95
translated_aposre	VBP	29
talk	VBG	4
talking	VBG	4
about	IN	182
before	IN	44
anyone	NN	6
hear	VBD	1
heard	VBD	1
have	VBG	12
having	VBG	12
any	DT	106
questionable	JJ	3
property	NNS	1
properties	NNS	1
there	EX	88
no	DT	86
our	PRP$	26
product	NNS	32
products	NNS	32
now	RB	70
translated_apostranslated_apos	''	684
neither	DT	12
nor	CC	12
who	WP	167
*t*-3	-NONE-	97
study	VBD	1
studied	VBD	1
aware	JJ	3
research	NN	33
on	IN	500
smoker	NNS	2
smokers	NNS	2
have	VBP	222
useful	JJ	2
information	NN	26
whether	IN	29
user	NNS	2
users	NNS	2
be	VBP	369
are	VBP	367
at	IN	430
risk	NN	7
james	NNP	22
a.	NNP	16
talcott	NNP	4
boston	NNP	17
dana-farber	NNP	1
cancer	NNP	2
institute	NNP	15
dr.	NNP	13
lead	VBD	7
led	VBD	7
team	NN	17
from	IN	391
national	NNP	21
medical	JJ	8
school	NNS	9
schools	NNS	9
harvard	NNP	3
university	NNP	22
spokeswoman	NN	8
very	RB	28
modest	JJ	3
amount	NNS	5
amounts	NNS	5
make	VBG	20
making	VBG	20
paper	NN	30
for	IN	851
early	JJ	29
1950s	CD	2
replace	VBN	5
replaced	VBN	5
different	JJ	21
type	NN	11
filter	NN	1
1953	CD	1
1955	CD	1
9.8	CD	2
billion	CD	159
sell	VBN	25
sold	VBN	25
*-3	-NONE-	130
company	NN	260
33	CD	7
men	NNS	10
*t*-4	-NONE-	23
work	VBD	5
worked	VBD	5
closely	RB	15
substance	NN	5
28	CD	4
*ich*-1	-NONE-	70
die	VBN	1
died	VBN	1
--	:	230
more	JJ	1
three	CD	51
time	NNS	16
times	NNS	16
expect	VBN	52
expected	VBN	52
number	NN	45
four	CD	21
five	CD	30
survive	VBG	3
surviving	VBG	3
asbestos-related	JJ	3
disease	NNS	7
diseases	NNS	7
include	VBG	38
including	VBG	38
recently	RB	26
diagnose	VBN	1
diagnosed	VBN	1
total	NN	9
18	CD	18
malignant	JJ	1
mesothelioma	NN	1
lung	NN	2
asbestosis	NN	1
far	RB	35
high	JJR	50
higher	JJR	50
*?*	-NONE-	45
morbidity	NN	1
rate	NN	41
striking	JJ	2
finding	NN	4
those	DT	61
us	PRP	26
*t*-5	-NONE-	5
study	VBP	1
west	NNP	10
groton	NNP	1
mass.	NNP	8
factory	NN	15
appear	VBZ	9
appears	VBZ	9
be	VB	356
high	JJS	8
highest	JJS	8
study	VBN	4
studied	VBN	4
western	JJ	6
industrialize	VBN	2
industrialized	VBN	2
country	NNS	22
countries	NNS	22
he	PRP	303
plant	NN	21
which	WDT	224
own	VBN	7
owned	VBN	6
*-4	-NONE-	34
by	IN	438
hollingsworth	NNP	2
&	CC	85
vose	NNP	2
co.	NNP	74
under	IN	74
contract	NN	36
*ich*-2	-NONE-	34
lorillard	NN	1
probably	RB	15
support	VB	10
*t*-6	-NONE-	2
argue	VBP	5
that	IN	514
u.s.	NNP	220
should	MD	38
regulate	VB	2
class	NN	8
stringently	RB	1
common	JJ	56
kind	NN	12
chrysotile	NN	2
find	VBN	10
found	VBN	14
most	JJS	48
other	JJ	140
building	NNS	3
buildings	NNS	3
one	CD	140
few	JJ	35
nation	NNS	15
nations	NNS	15
*t*-7	-NONE-	2
do	VBZ	54
does	VBZ	54
ntranslated_apost	RB	325
have	VB	101
standard	NN	2
regulation	NN	3
smooth	JJ	1
needle-like	JJ	1
fiber	NNS	4
fibers	NNS	4
such	JJ	91
classify	VBN	1
classified	VBN	1
*-5	-NONE-	11
amphobiles	NNS	1
accord	VBG	42
according	VBG	42
brooke	NNP	1
t.	NNP	11
mossman	NNP	2
professor	NN	8
pathlogy	NN	1
vermont	NNP	1
college	NNP	6
curly	JJ	1
easily	RB	6
reject	VBN	4
rejected	VBN	4
body	NN	2
explain	VBD	3
explained	VBD	3
july	NNP	8
environmental	NNP	1
protection	NNP	1
agency	NNP	5
impose	VBD	2
imposed	VBD	2
gradual	JJ	1
ban	NN	10
virtually	RB	7
all	DT	98
us	NNS	4
uses	NNS	4
1997	CD	1
almost	RB	23
remain	VBG	9
remaining	VBG	9
cancer-causing	JJ	1
outlaw	VBN	1
outlawed	VBN	1
*-6	-NONE-	4
160	CD	1
*t*-8	-NONE-	2
make	VBD	23
made	VBD	23
*-7	-NONE-	4
area	NNS	11
areas	NNS	11
particularly	RB	18
dusty	JJ	1
where	WRB	36
*-8	-NONE-	2
dump	VBD	2
dumped	VBD	2
large	JJ	29
burlap	NN	1
sack	NNS	1
sacks	NNS	1
import	VBN	2
imported	VBN	2
material	NN	10
into	IN	87
huge	JJ	15
bin	NN	1
pour	VBD	1
poured	VBD	1
in	RP	15
cotton	NN	1
acetate	NN	1
mechanically	RB	1
mix	VBD	1
mixed	VBD	1
dry	JJ	4
process	NN	13
describe	VBD	4
described	VBD	4
cloud	NNS	1
clouds	NNS	1
blue	JJ	5
dust	NN	1
hang	VBD	1
hung	VBD	1
over	IN	75
part	NNS	7
parts	NNS	7
though	IN	26
exhaust	NN	1
fan	NNS	3
fans	NNS	3
ventilate	VBD	1
ventilated	VBD	1
area	NN	9
translated_aposs	VBZ	104
question	NN	12
some	DT	144
manager	NNS	40
managers	NNS	40
contract	VBD	2
contracted	VBD	2
darrell	NNP	1
phillips	NNP	2
vice	NN	43
president	NN	133
human	JJ	4
resource	NNS	5
resources	NNS	5
but	CC	307
you	PRP	94
recognize	VB	2
these	DT	77
event	NNS	3
events	NNS	3
take	VBD	28
took	VBD	28
place	NN	17
35	CD	7
bearing	NN	1
work	NN	19
force	NN	16
yield	NNS	8
yields	NNS	8
money-market	JJ	3
mutual	JJ	8
fund	NNS	67
funds	NNS	67
continue	VBD	8
continued	VBD	8
slide	VB	1
amid	IN	4
sign	NNS	9
signs	NNS	9
portfolio	NN	9
expect	VBP	6
further	JJ	10
decline	NNS	5
declines	NNS	5
interest	NN	53
rate	NNS	50
rates	NNS	50
average	JJ	26
seven-day	JJ	3
compound	NN	5
yield	NN	20
400	CD	7
taxable	JJ	2
track	VBN	1
tracked	VBN	1
ibc	NNP	1
money	NNP	4
fund	NNP	12
report	NNP	8
ease	VBD	3
eased	VBD	3
fraction	NN	1
point	NN	26
8.45	CD	2
%	NN	445
8.47	CD	2
week	NN	55
end	VBD	22
ended	VBD	22
tuesday	NNP	46
assume	VBP	2
reinvestment	NN	1
dividend	NNS	21
dividends	NNS	21
current	JJ	32
continue	VBZ	13
continues	VBZ	13
maturity	NN	3
translated_apos	POS	63
investment	NNS	17
investments	NNS	17
lengthen	VBD	1
lengthened	VBD	1
day	NN	23
41	CD	4
day	NNS	51
days	NNS	51
long	JJS	1
longest	JJS	1
since	IN	56
august	NNP	18
donoghue	NNP	1
long	JJR	5
longer	JJR	5
maturity	NNS	3
maturities	NNS	3
think	VBN	2
thought	VBN	2
indicate	VB	2
decline	VBG	5
declining	VBG	5
because	IN	122
they	PRP	263
permit	VBP	1
retain	VB	3
relatively	RB	11
period	NN	25
short	JJR	1
shorter	JJR	1
consider	VBN	9
considered	VBN	9
*-9	-NONE-	2
sign	NN	9
rise	VBG	11
rising	VBG	11
can	MD	94
capture	VB	4
sooner	RB	1
open	JJ	7
only	RB	73
institution	NNS	19
institutions	NNS	19
strong	JJR	5
stronger	JJR	5
indicator	NN	4
watch	VBP	3
market	NN	178
reach	VBD	4
reached	VBD	4
nevertheless	RB	2
brenda	NNP	1
malizia	NNP	1
negus	NNP	1
editor	NN	11
may	MD	70
blip	VB	1
again	RB	15
blip	VBP	1
down	RP	14
recent	JJ	72
rise	NNS	1
rises	NNS	1
short-term	JJ	14
six-month	JJ	6
treasury	NNP	42
bill	NNS	19
bills	NNS	19
monday	NNP	12
auction	NN	5
example	NN	27
rise	VBD	61
rose	VBD	61
8.04	CD	2
7.90	CD	4
despite	IN	25
investor	NNS	66
investors	NNS	66
continue	VBP	7
pour	VB	1
cash	NN	43
money	NN	56
asset	NNS	18
assets	NNS	18
grow	VBD	4
grew	VBD	4
translated_dollar	$	718
1.5	CD	7
*u*	-NONE-	744
during	IN	43
352.7	CD	1
typically	RB	5
money-fund	NN	1
beat	VBP	1
comparable	JJ	3
vary	VB	2
go	VB	18
after	IN	87
top	JJ	10
currently	RB	26
yield	VBG	3
yielding	VBG	3
well	RB	46
9	CD	18
dreyfus	NNP	1
world-wide	NNP	1
dollar	NNP	1
top-yielding	JJ	1
fund	NN	11
have	VBD	161
had	VBD	160
9.37	CD	1
down	RB	22
9.45	CD	1
early	JJR	37
earlier	JJR	37
invest	VBZ	1
invests	VBZ	1
heavily	RB	7
dollar-denominated	JJ	3
security	NNS	34
securities	NNS	34
overseas	RB	4
waive	VBG	1
waiving	VBG	1
management	NN	22
fee	NNS	24
fees	NNS	24
*t*-9	-NONE-	2
boost	VBZ	3
boosts	VBZ	3
simple	JJ	4
8.12	CD	1
8.14	CD	1
30-day	JJ	8
fell	VBD	32
8.19	CD	1
8.22	CD	1
;	:	171
slide	VBD	2
slid	VBD	2
8.53	CD	1
8.56	CD	1
j.p.	NNP	1
bolduc	NNP	1
w.r.	NNP	3
grace	NNP	4
*t*-10	-NONE-	2
hold	VBZ	4
holds	VBZ	4
83.4	CD	1
energy-services	JJ	1
elect	VBN	6
elected	VBN	6
*-10	-NONE-	2
succeed	VBZ	2
succeeds	VBZ	2
terrence	NNP	1
d.	NNP	15
daniel	NNP	3
daniels	NNP	1
formerly	RB	3
*t*-11	-NONE-	2
resign	VBD	5
resigned	VBD	5
energy	NNP	7
seven	CD	9
seat	NNS	8
seats	NNS	8
pacific	NNP	10
first	NNP	35
financial	NNP	14
shareholder	NNS	20
shareholders	NNS	20
approve	VBD	14
approved	VBD	14
acquisition	NN	15
royal	NNP	1
trustco	NNP	1
ltd.	NNP	19
toronto	NNP	5
27	CD	5
share	NN	117
or	CC	294
212	CD	1
million	CD	383
thrift	NN	18
hold	VBG	17
holding	VBG	17
expect	VBZ	19
expects	VBZ	19
obtain	VB	3
regulatory	JJ	8
approval	NN	10
complete	VB	6
transaction	NN	20
year-end	NN	2
mcdermott	NNP	1
international	NNP	33
babcock	NNP	1
wilcox	NNP	1
complete	VBD	9
completed	VBD	9
sale	NN	27
bailey	NNP	3
control	NNP	3
controls	NNP	2
operation	NNP	1
operations	NNP	1
finmeccanica	NNP	2
s.p	NNP	1
295	CD	1
italian	JJ	4
state-owned	JJ	2
interest	NNS	7
interests	NNS	7
mechanical	JJ	4
engineering	NN	8
industry	NN	41
base	VBN	31
based	VBN	31
wickliffe	NNP	1
ohio	NNP	9
computerized	JJ	1
control	NNS	3
controls	NNS	3
system	NNS	6
systems	NNS	6
employ	VBZ	3
employs	VBZ	3
2,700	CD	1
people	NNS	61
annual	JJ	17
revenue	NN	13
370	CD	1
federal	JJ	53
government	NN	85
suspend	VBD	2
