TREE0_LABEL	TREE0_HEAD	TREE0_HEADPOS	TREE0_LEFTCHILD	TREE0_RIGHTCHILD	TREE1_LABEL	TREE1_HEAD	TREE1_HEADPOS	TREE1_LEFTCHILD	TREE1_RIGHTCHILD	TREE2_LABEL	TREE2_HEAD	TREE2_HEADPOS	TREE3_LABEL	TREE3_HEAD	ANTECEDENT_CARRIED	WORD_NEXT0_LEX	WORD_NEXT0_POS	ACTION	ACTION_RESULT_LABEL	ACTION_PREV	FREQ	ACTIVATION
NOPOS	noword	 				 	 				 	 		 	NO	if	IN	shift	''		3	-8.744891929844425
IN	if	 			NOPOS	noword	 				 	 		 	NO	you	PRP	shift	''	shift	2	-8.947624483898506
PRP	you	 			IN	if	 			NOPOS	noword	 		 	NO	be	VBD	reduce_unary	NP	shift	1	-9.294198074178478
NP	you	PRP	PRP		IN	if	 			NOPOS	noword	 		 	NO	be	VBD	shift	''	reduce_unary	1	-9.294198074178478
VBD	be	 			NP	you	PRP	PRP		IN	if	 	NOPOS	noword	NO	to	TO	postulate_gap	*	shift	1	-9.294198074178478
-NONE-	*	 			VBD	be	 			NP	you	PRP	IN	if	NO	to	TO	reduce_unary	NP	postulate_gap	2	-8.947624483898506
NP	*	-NONE-	-NONE-		VBD	be	 			NP	you	PRP	IN	if	NO	to	TO	shift	''	reduce_unary	2	-8.947624483898506
TO	to	 			NP	*	-NONE-	-NONE-		VBD	be	 	NP	you	NO	journey	VB	shift	''	shift	1	-9.294198074178478
VB	journey	 			TO	to	 			NP	*	-NONE-	VBD	be	NO	to	TO	shift	''	shift	1	-9.294198074178478
TO	to	 			VB	journey	 			TO	to	 	NP	*	NO	the	DT	shift	''	shift	1	-9.294198074178478
DT	the	 			TO	to	 			VB	journey	 	TO	to	NO	north	NNP	shift	''	shift	1	-9.294198074178478
NNP	north	 			DT	the	 			TO	to	 	VB	journey	NO	of	IN	reduce_unary	NP_BAR	shift	1	-9.294198074178478
NP_BAR	north	NNP	NNP		DT	the	 			TO	to	 	VB	journey	NO	of	IN	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	north	NNP	DT	NNP	TO	to	 			VB	journey	 	TO	to	NO	of	IN	shift	''	reduce_binary	1	-9.294198074178478
IN	of	 			NP	north	NNP	DT	NNP	TO	to	 	VB	journey	NO	england	NNP	shift	''	shift	1	-9.294198074178478
NNP	england	 			IN	of	 			NP	north	NNP	TO	to	NO	,	,	reduce_unary	NP	shift	1	-9.294198074178478
NP	england	NNP	NNP		IN	of	 			NP	north	NNP	TO	to	NO	,	,	reduce_unary	PP_BAR	reduce_unary	1	-9.294198074178478
PP_BAR	of	IN	NP		IN	of	 			NP	north	NNP	TO	to	NO	,	,	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	of	IN	IN	NP	NP	north	NNP	DT	NNP	TO	to	 	VB	journey	NO	,	,	reduce_unary	NP_BAR	reduce_binary	1	-9.294198074178478
NP_BAR	north	NNP	PP		NP	north	NNP	DT	NNP	TO	to	 	VB	journey	NO	,	,	reduce_binary	NP	reduce_unary	1	-9.294198074178478
NP	north	NNP	NP	PP	TO	to	 			VB	journey	 	TO	to	NO	,	,	reduce_unary	PP_BAR	reduce_binary	1	-9.294198074178478
PP_BAR	to	TO	NP		TO	to	 			VB	journey	 	TO	to	NO	,	,	reduce_binary	PP	reduce_unary	1	-9.294198074178478
PP	to	TO	TO	NP	VB	journey	 			TO	to	 	NP	*	NO	,	,	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	journey	VB	PP		VB	journey	 			TO	to	 	NP	*	NO	,	,	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	journey	VB	VB	PP	TO	to	 			NP	*	-NONE-	VBD	be	NO	,	,	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	journey	VB	VP		TO	to	 			NP	*	-NONE-	VBD	be	NO	,	,	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	journey	VB	TO	VP	NP	*	-NONE-	-NONE-		VBD	be	 	NP	you	NO	,	,	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	journey	VB	VP		NP	*	-NONE-	-NONE-		VBD	be	 	NP	you	NO	,	,	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	journey	VB	NP	VP	VBD	be	 			NP	you	PRP	IN	if	NO	,	,	reduce_unary	VP_BAR	reduce_binary	1	-9.294198074178478
VP_BAR	journey	VB	S		VBD	be	 			NP	you	PRP	IN	if	NO	,	,	reduce_binary	VP	reduce_unary	1	-9.294198074178478
VP	journey	VB	VBD	S	NP	you	PRP	PRP		IN	if	 	NOPOS	noword	NO	,	,	reduce_unary	S_BAR	reduce_binary	1	-9.294198074178478
S_BAR	journey	VB	VP		NP	you	PRP	PRP		IN	if	 	NOPOS	noword	NO	,	,	reduce_binary	S	reduce_unary	1	-9.294198074178478
S	journey	VB	NP	VP	IN	if	 			NOPOS	noword	 		 	NO	,	,	reduce_unary	SBAR_BAR	reduce_binary	1	-9.294198074178478
SBAR_BAR	if	IN	S		IN	if	 			NOPOS	noword	 		 	NO	,	,	reduce_binary	SBAR	reduce_unary	3	-8.744891929844425
SBAR	if	IN	IN	S	NOPOS	noword	 				 	 		 	NO	,	,	shift	''	reduce_binary	3	-8.744891929844425
,	,	 			SBAR	if	IN	IN	S	NOPOS	noword	 		 	NO	you	PRP	shift	''	shift	2	-8.947624483898506
PRP	you	 			,	,	 			SBAR	if	IN	NOPOS	noword	NO	would	MD	reduce_unary	NP	shift	1	-9.294198074178478
NP	you	PRP	PRP		,	,	 			SBAR	if	IN	NOPOS	noword	NO	would	MD	shift	''	reduce_unary	1	-9.294198074178478
MD	would	 			NP	you	PRP	PRP		,	,	 	SBAR	if	NO	come	VB	shift	''	shift	1	-9.294198074178478
VB	come	 			MD	would	 			NP	you	PRP	,	,	NO	to	TO	shift	''	shift	1	-9.294198074178478
TO	to	 			VB	come	 			MD	would	 	NP	you	NO	a	DT	shift	''	shift	1	-9.294198074178478
DT	a	 			TO	to	 			VB	come	 	MD	would	NO	valley	NN	shift	''	shift	1	-9.294198074178478
