WORD	POS	FREQ
pierre	NNP	6
vinken	NNP	2
,	,	53608
61	CD	27
year	NNS	1292
years	NNS	1292
old	JJ	260
will	MD	3343
join	VB	45
the	DT	52681
board	NN	346
as	IN	4183
a	DT	22060
nonexecutive	JJ	6
director	NN	354
nov.	NNP	258
29	CD	80
.	.	42848
mr.	NNP	4534
be	VBZ	7639
is	VBZ	7639
chairman	NN	508
of	IN	25326
elsevier	NNP	1
n.v.	NNP	15
dutch	NNP	8
publish	VBG	15
publishing	VBG	15
group	NN	687
rudolph	NNP	8
agnew	NNP	3
55	CD	66
and	CC	18215
former	JJ	309
consolidated	NNP	17
gold	NNP	20
field	NNP	20
fields	NNP	3
plc	NNP	116
be	VBD	6390
was	VBD	4276
name	VBN	196
named	VBN	196
*-1	-NONE-	12642
this	DT	2519
british	JJ	212
industrial	JJ	155
conglomerate	NN	23
form	NN	88
asbestos	NN	27
once	RB	183
use	VBN	301
used	VBN	301
*	-NONE-	10828
to	TO	24531
make	VB	564
kent	NNP	11
cigarette	NN	20
filter	NNS	10
filters	NNS	10
have	VBZ	3644
has	VBZ	3644
cause	VBN	63
caused	VBN	63
high	JJ	344
percentage	NN	143
cancer	NN	88
death	NNS	31
deaths	NNS	31
among	IN	461
worker	NNS	224
workers	NNS	224
expose	VBN	16
exposed	VBN	16
it	PRP	6394
more	RBR	906
than	IN	1789
30	CD	539
ago	IN	135
researcher	NNS	85
researchers	NNS	85
report	VBD	330
reported	VBD	330
0	-NONE-	11099
*t*-1	-NONE-	10333
fiber	NN	8
crocidolite	NN	5
unusually	RB	20
resilient	JJ	5
once	IN	41
enter	VBZ	9
enters	VBZ	9
lung	NNS	4
lungs	NNS	4
with	IN	4794
even	RB	798
brief	JJ	24
exposure	NNS	7
exposures	NNS	7
cause	VBG	37
causing	VBG	37
symptom	NNS	14
symptoms	NNS	14
that	WDT	2213
show	VBP	51
up	RP	972
decade	NNS	30
decades	NNS	30
late	JJ	275
later	JJ	23
say	VBD	6159
said	VBD	6159
*t*-2	-NONE-	4414
lorillard	NNP	4
inc.	NNP	1174
unit	NN	558
new	JJ	1601
york-based	JJ	34
loews	NNP	3
corp.	NNP	1333
make	VBZ	193
makes	VBZ	193
cigarette	NNS	23
cigarettes	NNS	23
stop	VBD	35
stopped	VBD	35
use	VBG	168
using	VBG	168
in	IN	18446
its	PRP$	4013
micronite	NN	1
1956	CD	5
although	IN	295
preliminary	JJ	51
finding	NNS	28
findings	NNS	28
were	VBD	2114
report	VBN	110
reported	VBN	110
*-2	-NONE-	4807
year	NN	2464
late	JJS	238
latest	JJS	238
result	NNS	304
results	NNS	304
appear	VBP	35
today	NN	327
translated_aposs	POS	8848
